Season,Name,Team,playerid
2011,Josh Hamilton,Rangers,1875
2008,Bobby Abreu,Yankees,945
2003,Doug Mientkiewicz,Twins,741
2005,Jason Varitek,Red Sox,217
2016,Yoenis Cespedes,Mets,13110
2014,David Ortiz,Red Sox,745
2009,Michael Cuddyer,Twins,1534
2005,Derek Jeter,Yankees,826
2007,Hideki Matsui,Yankees,1659
2003,Nomar Garciaparra,Red Sox,190
2005,Hideki Matsui,Yankees,1659
2008,Johnny Damon,Yankees,185
2011,Victor Martinez,Tigers,393
2010,Colby Rasmus,Cardinals,9893
2003,Corey Koskie,Twins,738
2012,David Murphy,Rangers,6035
2003,Rafael Palmeiro,Rangers,1266
2010,Carl Crawford,Rays,1201
2007,Russell Martin,Dodgers,4616
2006,Nomar Garciaparra,Dodgers,190
2007,Ken Griffey Jr.,Reds,327
2007,Gary Sheffield,Tigers,114
2005,Randy Winn,- - -,1235
2014,Jonathan Lucroy,Brewers,7870
2007,Garrett Atkins,Rockies,1790
2008,Alfonso Soriano,Cubs,847
2013,Adam Lind,Blue Jays,8027
2010,Ryan Howard,Phillies,2154
2006,Michael Cuddyer,Twins,1534
2003,Jeff Kent,Astros,1119
2004,Phil Nevin,Padres,1049
2009,Russell Branyan,Mariners,370
2013,Giancarlo Stanton,Marlins,4949
2011,Shane Victorino,Phillies,1677
2010,Andre Ethier,Dodgers,6265
2015,Michael Brantley,Indians,4106
2010,Rickie Weeks Jr.,Brewers,1849
2012,Yoenis Cespedes,Athletics,13110
2014,Carlos Gomez,Brewers,4881
2008,Ryan Howard,Phillies,2154
2016,Christian Yelich,Marlins,11477
2016,Hanley Ramirez,Red Sox,8001
2009,Ichiro Suzuki,Mariners,1101
2015,Yoenis Cespedes,- - -,13110
2013,Mike Napoli,Red Sox,3057
2016,Dexter Fowler,Cubs,4062
2011,Evan Longoria,Rays,9368
2006,Troy Glaus,Blue Jays,15
2004,Derrek Lee,Cubs,525
2005,Miguel Tejada,Orioles,941
2005,Victor Martinez,Indians,393
2007,Ryan Garko,Indians,6319
2007,Casey Kotchman,Angels,1930
2002,Fred McGriff,Cubs,293
2016,Manny Machado,Orioles,11493
2007,Alex Rios,Blue Jays,2090
2005,Cliff Floyd,Mets,518
2010,David Wright,Mets,3787
2004,Craig Wilson,Pirates,1015
2009,David Wright,Mets,3787
2011,Kevin Youkilis,Red Sox,1935
2015,Ryan Braun,Brewers,3410
2007,Nick Markakis,Orioles,5930
2013,Daniel Nava,Red Sox,5450
2008,Carlos Delgado,Mets,1297
2002,Torii Hunter,Twins,731
2004,Jeff Bagwell,Astros,547
2012,David Freese,Cardinals,9549
2007,Chone Figgins,Angels,1580
2012,Ben Zobrist,Rays,7435
2010,Jay Bruce,Reds,9892
2003,Alfonso Soriano,Yankees,847
2014,Josh Harrison,Pirates,8202
2015,Shin-Soo Choo,Rangers,3174
2002,Eric Hinske,Blue Jays,1305
2005,Placido Polanco,- - -,1176
2004,Brian Giles,Padres,990
2010,Alex Rodriguez,Yankees,1274
2006,Adrian Gonzalez,Padres,1908
2013,Brandon Belt,Giants,10264
2003,Eric Chavez,Athletics,906
2006,Freddy Sanchez,Pirates,1624
2005,Mike Sweeney,Royals,634
2007,Kelly Johnson,Braves,2234
2008,Nate McLouth,Pirates,3190
2004,Aubrey Huff,Devil Rays,1213
2003,Tim Salmon,Angels,32
2010,Victor Martinez,Red Sox,393
2004,Ray Durham,Giants,230
2013,Carlos Santana,Indians,2396
2002,Jacque Jones,Twins,735
2006,Josh Willingham,Marlins,2103
2007,Troy Tulowitzki,Rockies,3531
2007,Carlos Guillen,Tigers,1079
2011,Ian Kinsler,Rangers,6195
2013,Marlon Byrd,- - -,950
2015,Kendrys Morales,Royals,8610
2007,Dustin Pedroia,Red Sox,8370
2008,Brian Roberts,Orioles,166
