Season,Name,Team,playerid
2009,Jorge de la Rosa,Rockies,2047
2014,Jason Vargas,Royals,8044
2006,Javier Vazquez,White Sox,801
2014,Tom Koehler,Marlins,6570
2010,John Lackey,Red Sox,1507
2013,Bud Norris,- - -,9492
2014,Drew Hutchison,Blue Jays,10732
2005,Mark Prior,Cubs,301
2012,Edwin Jackson,Nationals,1841
2012,Trevor Cahill,Diamondbacks,6249
2016,Jeff Samardzija,Giants,3254
2004,Chris Carpenter,Cardinals,1292
2014,Ryan Vogelsong,Giants,1011
2012,Mat Latos,Reds,3815
2015,Andrew Cashner,Padres,8782
2002,Kerry Wood,Cubs,304
2010,Edwin Jackson,- - -,1841
2007,Andy Pettitte,Yankees,840
2012,Hiroki Kuroda,Yankees,3283
2013,John Lackey,Red Sox,1507
2015,Garrett Richards,Angels,9784
2007,James Shields,Devil Rays,7059
2009,Max Scherzer,Diamondbacks,3137
2002,CC Sabathia,Indians,404
2015,Michael Wacha,Cardinals,14078
2003,Livan Hernandez,Expos,1116
2009,Ryan Dempster,Cubs,517
2006,Kevin Millwood,Rangers,106
2002,Al Leiter,Mets,883
2016,Dallas Keuchel,Astros,9434
2006,Brad Penny,Dodgers,535
2002,Barry Zito,Athletics,944
2012,Ricky Nolasco,Marlins,3830
2006,Jake Westbrook,Indians,412
2015,Bartolo Colon,Mets,375
2014,Mike Leake,Reds,10130
2005,Jason Schmidt,Giants,1131
2004,David Wells,Padres,855
2009,Randy Wells,Cubs,4535
2003,Wade Miller,Astros,568
2004,Jeff Weaver,Dodgers,503
2009,Matt Cain,Giants,4732
2003,Greg Maddux,Braves,104
2013,Travis Wood,Cubs,9884
2010,Derek Lowe,Braves,199
2006,Dave Bush,Brewers,4635
2005,Noah Lowry,Giants,1833
2005,Dan Haren,Athletics,1757
2014,Wei-Yin Chen,Orioles,13071
2008,Kyle Lohse,Cardinals,739
2016,Zach Davies,Brewers,13183
2013,Yovani Gallardo,Brewers,8173
2003,Matt Morris,Cardinals,1172
2004,John Thomson,Braves,453
2005,Jeremy Bonderman,Tigers,1667
2012,Joe Blanton,- - -,4849
2010,Mark Buehrle,White Sox,225
2008,Jered Weaver,Angels,4235
