Season,Name,Team,playerid
2012,Esmil Rogers,- - -,6317
2000,Greg Swindell,Diamondbacks,76
2007,Jeremy Accardo,Blue Jays,6428
2000,Todd Jones,Tigers,436
1998,Mariano Rivera,Yankees,844
2001,Tim Worrell,Giants,1139
2012,Brad Lincoln,- - -,4241
2014,Jamey Wright,Dodgers,715
2012,James Russell,Cubs,4089
2002,Ben Weber,Angels,41
2015,Blake Treinen,Nationals,12572
2011,Joakim Soria,Royals,6941
2007,Cla Meredith,Padres,7613
1997,Mike James,Angels,1453
2013,Matt Albers,Indians,4300
2000,Jeff Nelson,Yankees,1092
2005,Roberto Hernandez,Mets,605
2002,Jose Jimenez,Rockies,435
2013,Grant Balfour,Athletics,718
2004,Ricky Bottalico,Mets,948
2012,Joe Smith,Indians,3281
2010,Darren O'Day,Rangers,3321
2000,Vicente Padilla,- - -,964
1998,Scott Service,Royals,1684
2011,Jose Veras,Pirates,2063
2009,Ronald Belisario,Dodgers,2203
2010,Jonathan Papelbon,Red Sox,5975
2009,Michael Gonzalez,Braves,1794
2000,Byung-Hyun Kim,Diamondbacks,61
2006,Francisco Cordero,- - -,1243
1998,Jerry Spradlin,Phillies,1012353
2015,Franklin Morales,Royals,5088
1997,Paul Spoljaric,- - -,1012349
2006,Kevin Correia,Giants,1767
1998,Jim Mecir,Devil Rays,930
1997,Billy Taylor,Athletics,1012859
1997,Stan Belinda,Reds,1000792
2007,Bob Howry,Cubs,237
2004,Mike DeJean,- - -,682
1998,Tim Crabtree,Rangers,1002715
2013,Burke Badenhop,Brewers,9736
2001,John Rocker,- - -,1273
2007,Alan Embree,Athletics,1030
2002,Carlos Silva,Phillies,973
2008,Darren Oliver,Angels,206
1997,Mike Fetters,Brewers,988
2015,Kevin Jepsen,- - -,6475
2002,Rick White,- - -,456
2004,LaTroy Hawkins,Cubs,729
2000,Travis Miller,Twins,742
2015,Alex Wilson,Tigers,9239
1997,Jerry Dipoto,Rockies,1003321
2011,Carlos Marmol,Cubs,2790
2010,Chris Perez,Indians,5213
2014,Ronald Belisario,White Sox,2203
2006,Geoff Geary,Phillies,1813
2000,Doug Jones,Athletics,1006552
2006,Ramon Ramirez,Rockies,7986
2002,Billy Koch,Athletics,924
2013,Tim Stauffer,Padres,6432
2011,Jose Valverde,Tigers,1726
2011,Nick Masset,Reds,7267
2000,Armando Benitez,Mets,865
2016,Hansel Robles,Mets,11801
2014,Todd Redmond,Blue Jays,9943
1999,Robb Nen,Giants,1123
