Season,Name,Team,playerid
2011,James Shields,Rays,7059
2015,Joe Ross,Nationals,12972
2015,Nathan Eovaldi,Yankees,9132
2010,Travis Wood,Reds,9884
2012,Doug Fister,Tigers,9425
2011,Michael Pineda,Mariners,5372
2013,Kris Medlen,Braves,9417
2013,Ubaldo Jimenez,Indians,3374
2005,Curt Schilling,Red Sox,73
2002,Greg Maddux,Braves,104
2010,David Price,Rays,3184
2007,Chris Young,Padres,3196
2012,Jarrod Parker,Athletics,4913
2013,Patrick Corbin,Diamondbacks,9323
2014,Jesse Hahn,Padres,13287
2015,J.A. Happ,- - -,7410
2006,Chris Carpenter,Cardinals,1292
2013,Derek Holland,Rangers,4141
2008,John Danks,White Sox,6329
2013,Chad Gaudin,Giants,1783
1998,Omar Daal,Diamondbacks,646
2015,Lance Lynn,Cardinals,2520
2002,Casey Fossum,Red Sox,188
2011,Roy Oswalt,Phillies,571
2013,Hisashi Iwakuma,Mariners,13048
2006,John Smoltz,Braves,115
2015,Shelby Miller,Braves,10197
2004,Oliver Perez,Pirates,1514
1998,David Cone,Yankees,1680
1998,Shane Reynolds,Astros,574
1997,Tom Gordon,Red Sox,282
1997,Mike Remlinger,Reds,111
2015,Sonny Gray,Athletics,12768
2002,Tim Wakefield,Red Sox,219
2007,Scott Kazmir,Devil Rays,4897
2008,A.J. Burnett,Blue Jays,512
2003,Dontrelle Willis,Marlins,1703
2011,Johnny Cueto,Reds,6893
2015,Mat Latos,- - -,3815
2007,Tim Hudson,Braves,921
2005,John Patterson,Nationals,71
2013,Tim Hudson,Braves,921
2016,Chris Sale,White Sox,10603
2006,Mike Mussina,Yankees,837
2014,Sonny Gray,Athletics,12768
2010,Gavin Floyd,White Sox,3886
2003,Carlos Zambrano,Cubs,305
2003,Johan Santana,Twins,755
2012,Lance Lynn,Cardinals,2520
2013,James Shields,Royals,7059
2013,Jhoulys Chacin,Rockies,2608
2014,Tanner Roark,Nationals,8753
2016,Matt Harvey,Mets,11713
2012,James Shields,Rays,7059
2015,Cole Hamels,- - -,4972
2012,Andy Pettitte,Yankees,840
1998,Mike Mussina,Orioles,837
2016,Justin Verlander,Tigers,8700
2001,Freddy Garcia,Mariners,1077
2005,Erik Bedard,Orioles,126
2005,John Thomson,Braves,453
2016,Joe Ross,Nationals,12972
2014,Julio Teheran,Braves,6797
2012,Brandon Beachy,Braves,8851
1997,Mike Mussina,Orioles,837
1998,Jimmy Key,Orioles,1006885
2015,Justin Verlander,Tigers,8700
2009,Tommy Hanson,Braves,9129
2010,Jhoulys Chacin,Rockies,2608
2000,David Wells,Blue Jays,855
2007,Joe Blanton,Athletics,4849
1998,Tom Glavine,Braves,90
2012,Madison Bumgarner,Giants,5524
2011,Scott Baker,Twins,6176
2010,Wandy Rodriguez,Astros,2586
1997,Matt Morris,Cardinals,1172
1997,Ismael Valdez,Dodgers,1283
2015,Jesse Hahn,Athletics,13287
2012,Kyle Lohse,Cardinals,739
2006,Jake Peavy,Padres,1051
2008,Johan Santana,Mets,755
2001,Kerry Wood,Cubs,304
2012,Jordan Zimmermann,Nationals,4505
2005,Brandon Webb,Diamondbacks,1692
2013,C.J. Wilson,Angels,3580
2004,Glendon Rusch,Cubs,707
2013,Scott Kazmir,Indians,4897
2000,Glendon Rusch,Mets,707
1997,Alan Benes,Cardinals,265
2016,Masahiro Tanaka,Yankees,15764
1997,Bob Tewksbury,Twins,1012941
2016,Matt Shoemaker,Angels,4776
2000,Mike Mussina,Orioles,837
2004,Andy Pettitte,Astros,840
2011,Matt Harrison,Rangers,5551
2016,Jake Arrieta,Cubs,4153
2014,Danny Salazar,Indians,5867
2012,A.J. Burnett,Pirates,512
2001,Russ Ortiz,Giants,1124
2015,Johnny Cueto,- - -,6893
2015,Robbie Ray,Diamondbacks,11486
2007,Yovani Gallardo,Brewers,8173
2013,Eric Stults,Padres,8011
2012,Anibal Sanchez,- - -,3284
1998,Orlando Hernandez,Yankees,823
2004,Mark Prior,Cubs,301
2001,Barry Zito,Athletics,944
2010,Alex Sanabia,Marlins,5350
1999,Kevin Millwood,Braves,106
2011,Ricky Nolasco,Marlins,3830
2010,Johan Santana,Mets,755
2014,Matt Garza,Brewers,3340
2010,CC Sabathia,Yankees,404
2008,Edinson Volquez,Reds,3990
2009,Wandy Rodriguez,Astros,2586
2007,John Lackey,Angels,1507
2004,Carl Pavano,Marlins,790
2014,Tim Hudson,Giants,921
2004,Brad Radke,Twins,748
2010,Colby Lewis,Rangers,1259
2014,Brandon McCarthy,- - -,4662
2016,Aaron Sanchez,Blue Jays,11490
2014,Tyler Skaggs,Angels,10190
2011,Edwin Jackson,- - -,1841
2013,Ivan Nova,Yankees,1994
2007,Roy Halladay,Blue Jays,1303
2012,Jeff Samardzija,Cubs,3254
1997,John Burkett,Rangers,179
2014,Zack Wheeler,Mets,10310
2009,Erik Bedard,Mariners,126
2014,Brett Oberholtzer,Astros,3855
2010,Brett Myers,Astros,962
2002,Wade Miller,Astros,568
2016,Jose Quintana,White Sox,11423
2003,Miguel Batista,Diamondbacks,46
2001,Brian Lawrence,Padres,1045
2008,Zack Greinke,Royals,1943
2009,Koji Uehara,Orioles,9227
2009,Hiroki Kuroda,Dodgers,3283
2010,C.J. Wilson,Rangers,3580
2013,Hiroki Kuroda,Yankees,3283
2015,John Lackey,Cardinals,1507
1997,Livan Hernandez,Marlins,1116
2014,Aaron Harang,Braves,1451
2015,Yordano Ventura,Royals,11855
2004,Carlos Zambrano,Cubs,305
2004,Doug Davis,Brewers,1244
2011,Javier Vazquez,Marlins,801
2011,Philip Humber,White Sox,8586
2014,Bartolo Colon,Mets,375
2005,Jae Seo,Mets,895
2011,Felipe Paulino,Royals,3777
2011,Josh Beckett,Red Sox,510
2013,Rick Porcello,Tigers,2717
2014,Henderson Alvarez,Marlins,5669
2003,Mark Redman,Marlins,491
2007,Greg Maddux,Padres,104
2015,Raisel Iglesias,Reds,17130
2004,Pedro Martinez,Red Sox,200
2016,Kenta Maeda,Dodgers,18498
2013,Jon Niese,Mets,4424
2015,Collin McHugh,Astros,7531
1997,Andy Ashby,Padres,637
2001,Al Leiter,Mets,883
2003,Randy Johnson,Diamondbacks,60
2004,Josh Beckett,Marlins,510
2013,Jon Lester,Red Sox,4930
2014,Francisco Liriano,Pirates,3201
2014,Yusmeiro Petit,Giants,4020
2011,Yovani Gallardo,Brewers,8173
2009,Jordan Zimmermann,Nationals,4505
2008,Hiroki Kuroda,Dodgers,3283
2014,James Shields,Royals,7059
2002,Woody Williams,Cardinals,1190
2016,Tyler Anderson,Rockies,12880
2006,Curt Schilling,Red Sox,73
2013,Nathan Eovaldi,Marlins,9132
2007,Roy Oswalt,Astros,571
2008,Jair Jurrjens,Braves,5556
2003,Kevin Millwood,Phillies,106
2004,Brad Penny,- - -,535
2006,Erik Bedard,Orioles,126
2001,Randy Wolf,Phillies,976
2001,Tim Hudson,Athletics,921
2008,Jake Peavy,Padres,1051
2013,Charlie Morton,Pirates,4676
2006,Roy Halladay,Blue Jays,1303
2003,Roger Clemens,Yankees,815
